check,status,evidence,blocker
v383_runmode_ready,PASS,decision=READY-v383-runmode-dryrun-runtime-proof,False
v383_runmode_not_failed,PASS,decision=READY-v383-runmode-dryrun-runtime-proof,False
v383_static_ready,PASS,decision=READY-v383-dryrun-tolerant-static-audit-NO-PUSH-NO-SUBMIT,False
v383_static_no_blockers,PASS,block_count=0,False
macro_gate,PASS,macro_gain=0.0016012025357819981,False
top5_no_regression,PASS,top5=0.5068493150684932->0.5068493150684932,False
fold_std_not_worse,PASS,fold_std_delta=-0.0002265860787013796,False
optimism_stress_pass,PASS,decision=READY-v380-optimism-stress-pass-RUNMODE-ONLY-NO-SUBMIT,False
no_live_pending,PASS,pending=0 today_count=2,False
submission_quota_visible,PASS,today_count=2,False
explicit_competition_submit_not_made,PASS,this audit has no submit call,False
