check,status,value,notes
kernel_runmode,PASS,COMPLETE,"Kaggle Run-mode version 1 completed"
metadata_private,PASS,true,"kernel-metadata is_private=true"
metadata_cpu_only,PASS,true,"enable_gpu=false and enable_tpu=false"
metadata_no_internet,PASS,true,"enable_internet=false"
unknown_license_runtime_dependencies,PASS,none,"metadata/code removed jaejohn/perch-meta and tuckerarrants SED runtime dependencies"
runtime_seconds,PASS,314.439048526,"model log save time; nbconvert ended about 325.2s"
output_archive,PASS,birdclef-2026/outputs/v106-rankdominant-perch-guarded-v1,"submission.csv and kernel log archived locally"
submission_shape,PASS,"(120,235)","120 dry-run rows plus row_id and 234 class columns"
submission_sha256,PASS,dc4cb2860f72f962222a8ff52c60750c72299a0278dee03c5d16ee124fd330a0,"sha256 of output submission.csv"
finite_values,PASS,true,"all probability values finite"
probability_range,PASS,"[0.011144416,0.9992916]","values inside [0,1]"
duplicate_row_id,PASS,0,"no duplicate row_id"
rank_restore_log,PASS,"restore=2411; top_guard=261","log includes V106 rank-dominant restore cells"
real_submission,HOLD,not_submitted,"quality improved over v104/v105 but still below v103; do not submit yet"
