check,status,value,notes
kernel_runmode,PASS,COMPLETE,"Kaggle Run-mode version 1 completed"
metadata_private,PASS,true,"kernel-metadata is_private=true"
metadata_cpu_only,PASS,true,"enable_gpu=false and enable_tpu=false"
metadata_no_internet,PASS,true,"enable_internet=false"
unknown_license_runtime_dependencies,PASS,none,"metadata/code removed jaejohn/perch-meta and tuckerarrants SED runtime dependencies"
runtime_seconds,PASS,347.063147487,"model log save time; nbconvert ended about 358s"
output_archive,PASS,birdclef-2026/outputs/v104-perch-only-guarded-rescue-v1,"submission.csv and kernel log archived locally"
submission_shape,PASS,"(120,235)","120 dry-run rows plus row_id and 234 class columns"
submission_sha256,PASS,fc4b0a4628067d374745434bcc8884a5cc95a25058ab90851aec4e4c46d67bca,"sha256 of output submission.csv"
finite_values,PASS,true,"all probability values finite"
probability_range,PASS,"[0.011144416,0.9992916]","values inside [0,1]"
duplicate_row_id,PASS,0,"no duplicate row_id"
original_guard_log,PASS,"positive_rescue_cells=2749; top_hit_guard_cells=330; ctx_cells=2","log includes V104 Perch-only guarded macro-risk rescue counts"
real_submission,HOLD,not_submitted,"proxy is weaker than v103 and no real submission is justified"
