check,status,value,notes
kernel_runmode,PASS,COMPLETE,"Kaggle Run-mode version 1 completed"
metadata_private,PASS,true,"kernel-metadata is_private=true"
metadata_cpu_only,PASS,true,"enable_gpu=false and enable_tpu=false"
metadata_no_internet,PASS,true,"enable_internet=false"
unknown_license_runtime_dependencies,PASS,none,"metadata/code removed jaejohn/perch-meta and tuckerarrants SED runtime dependencies"
runtime_seconds,PASS,316.757926451,"model log save time; nbconvert ended about 327.1s"
output_archive,PASS,birdclef-2026/outputs/v107-rankceiling-perch-guarded-v1,"submission.csv and kernel log archived locally"
submission_shape,PASS,"(120,235)","120 dry-run rows plus row_id and 234 class columns"
submission_sha256,PASS,2bcaef8efbf8417587c305eb9a5bcaa824b12779bdc277641b835ac9a2d4f0e1,"sha256 of output submission.csv"
finite_values,PASS,true,"all probability values finite"
probability_range,PASS,"[0.011144416,0.9997021]","values inside [0,1]"
duplicate_row_id,PASS,0,"no duplicate row_id"
rank_restore_log,PASS,"restore=33; top_guard=374","log includes V107 rank-ceiling restore cells"
real_submission,HOLD,not_submitted,"best Perch-only top-hit proxy so far but macro remains too low versus v103"
