check,status,value,notes
runmode_status,PASS,COMPLETE,Kaggle kernel version 1 completed.
metadata_private,PASS,true,Private kernel.
metadata_cpu_only,PASS,true,enable_gpu=false and enable_tpu=false.
metadata_no_internet,PASS,true,enable_internet=false.
competition_source,PASS,birdclef-2026,Competition source attached.
checkpoint_dataset,PASS,alexycactus/birdclef-2026-cnn-fold-checkpoints,Only public Alexy checkpoint dataset attached.
model_sources_empty,PASS,true,No Kaggle model source attached.
force_cpu_code,PASS,DEVICE = cpu,Code forces CPU even if CUDA exists.
no_train_fallback,PASS,true,Train soundscape fallback removed.
runmode_submission_shape,PASS,"(3, 235)",Run-mode sample-shaped prior output.
runmode_row_id_duplicates,PASS,false,No duplicate row_id values.
runmode_finite,PASS,true,No NaN or infinite values in Run-mode output.
runmode_range,PASS,"[0.0042735042735042, 0.0042735042735042]",Run-mode prior is within [0 to 1].
runmode_sha256,PASS,4920b7c5f4a3b3ab30a54ee2858b2bfe4de06991a695c30608d9c22d5554d1bd,Sample prior output checksum.
hidden_runtime,UNKNOWN,not_measured,Requires guarded code submission because hidden test is unavailable in Run mode.
hidden_score,UNKNOWN,not_measured,Requires guarded code submission.
