check,status,value,notes
kernel_runmode,PASS,COMPLETE,"Kaggle Run-mode version 1 completed"
metadata_private,PASS,true,"kernel-metadata is_private=true"
metadata_cpu_only,PASS,true,"enable_gpu=false and enable_tpu=false"
metadata_no_internet,PASS,true,"enable_internet=false"
runtime_seconds,PASS,239.071769739,"last model log before save; nbconvert ended about 251s"
output_archive,PASS,birdclef-2026/outputs/v103-guarded-macro-risk-rescue-v1,"submission.csv and kernel log archived locally"
submission_shape,PASS,"(120,235)","120 dry-run rows plus row_id and 234 class columns"
submission_sha256,PASS,2e845334856d177723542229d13e11a6e624d0aa1c550e7763498d5efad41025,"sha256 of output submission.csv"
finite_values,PASS,true,"all probability values finite"
probability_range,PASS,"[0.011422446,0.99943465]","values inside [0,1]"
duplicate_row_id,PASS,0,"no duplicate row_id"
original_guard_log,PASS,"positive_rescue_cells=2068; top_hit_guard_cells=423; ctx_cells=22","log includes V103 guarded macro-risk rescue counts"
real_submission,LOCKED,v101_pending,"v101 ref 52795021 still pending; no real submission made"
goal_gate,NOT_REACHED,best_visible_0.949,"top20 cutoff 0.953 and top5 cutoff 0.958 at latest goal check"
